Experiment,Dataset,Detector,Tracker,Speed Method,MAE (km/h),RMSE (km/h),R2 Score
BrnoCompSpeed Benchmark,BrnoCompSpeed,YOLOX-Nano,ByteTrack,Linear Regression,1.92,2.45,0.9812
UA-DETRAC Benchmark,UA-DETRAC,YOLOv8-Small,SORT,Instantaneous DLT,3.41,4.12,0.945
Synthetic Highway Baseline,Synthetic Highway,LightweightDetector,ByteTrack,Windowed Linear Regression,0.35,0.48,0.9985
